0.2915,0
0.2941,0
0.2824,0
0.2736,0
0.2733,0
0.2719,0
0.2707,0
0.2722,0
0.2724,0
0.2677,0
0.2607,0
0.2528,0
0.2519,0
0.2486,0
0.2476,0
0.2474,0
0.248,0
0.249,0
0.2492,0
0.2493,0
0.2497,0
0.2508,0
0.2511,0
0.2517,0
0.2531,0
0.2553,0
0.2569,0
0.2578,0
0.2582,0
0.2584,0
0.2601,0
0.2616,0
0.2661,0
0.2654,0
0.2661,0
0.2686,0
0.2693,0
0.2707,0
0.2743,0
0.2757,0
0.2761,0
0.2761,0
0.2764,0
0.2765,0
0.2766,0
0.277,0
0.2775,0
0.2775,0
0.2775,0
0.2776,0
0.2774,0
0.2782,0
0.2798,0
0.28,0
0.2806,0
0.2809,0
0.2829,0
0.2921,0
0.3046,0
0.3142,0
0.3174,0
0.3196,0
0.32,0
0.3219,0
0.3233,0
0.3225,0
0.3221,0
0.3198,0
0.3245,0
0.3325,0
0.3321,0
0.3364,0
0.3377,0
0.3408,0
0.3374,0
0.3354,0
0.34,0
0.3455,0
0.3521,0
0.3483,0
0.3421,0
0.3405,0
0.339,0
0.33,0
0.335,0
0.3311,0
0.3301,0
0.3336,0
0.3352,0
0.336,0
0.3367,0
0.3362,0
0.3364,0
0.3361,0
0.2866,0
0.1201,0
0.0906,0
0.1081,0
0.1774,0
0.2157,0
0.2441,0
0.2632,0
0.2674,0
0.2687,0
0.267,0
0.2654,0
0.2687,0
0.2696,0
0.283,0
0.2876,0
0.2936,0
0.2918,0
0.2892,0
0.2882,0
0.2866,0
0.2864,0
0.2855,0
0.2842,0
0.2822,0
0.2759,0
0.2786,0
0.277,0
0.2782,0
0.276,0
0.2765,0
0.2777,0
0.2775,0
0.2788,0
0.2802,0
0.2777,0
0.2778,0
0.2778,0
0.2774,0
0.2778,0
0.2789,0
0.2811,0
0.2814,0
0.2813,0
0.2821,0
0.2826,0
0.2771,0
0.28,0
0.2803,0
0.2799,0
0.2808,0
0.2792,0
0.1224,0
0.0771,0
0.0699,0
0.0776,0
0.1482,0
0.2128,0
0.2404,0
0.2545,0
0.2587,0
0.2629,0
0.2638,0
0.2673,0
0.2682,0
0.2706,0
0.2733,0
0.2747,0
0.2759,0
0.2769,0
